operation,application,identityName
DisableAccount,Active Directory NA,A1143346
DisableAccount,Active Directory NA,A1319656
DisableAccount,Active Directory NA,A1431969
DisableAccount,Active Directory NA,A1462157
DisableAccount,Active Directory NA,A1462246
DisableAccount,Active Directory NA,A1464610
DisableAccount,Active Directory NA,A1475284
DisableAccount,Active Directory NA,A1480702
DisableAccount,Active Directory NA,A1486680
DisableAccount,Active Directory NA,A1489208
DisableAccount,Active Directory NA,A1493583
DisableAccount,Active Directory NA,A1506853
DisableAccount,Active Directory NA,A1544118
DisableAccount,Active Directory NA,A1549076
DisableAccount,Active Directory NA,A1608794
DisableAccount,Active Directory NA,A1613472
DisableAccount,Active Directory NA,A1632166
DisableAccount,Active Directory NA,A1632178
DisableAccount,Active Directory NA,A1637618
DisableAccount,Active Directory NA,A1640970
DisableAccount,Active Directory NA,A1641439
DisableAccount,Active Directory NA,A3018399
DisableAccount,Active Directory NA,A3032815
DisableAccount,Active Directory NA,A3032821
DisableAccount,Active Directory NA,A3032823
DisableAccount,Active Directory NA,A3032834
DisableAccount,Active Directory NA,A3032838
DisableAccount,Active Directory NA,A3032845
DisableAccount,Active Directory NA,A3043920
DisableAccount,Active Directory NA,A3052822
DisableAccount,Active Directory NA,A3065508
DisableAccount,Active Directory NA,A3065526
DisableAccount,Active Directory NA,A3065531
DisableAccount,Active Directory NA,A924325
